0	0	2	2	0	3	5	6	7	7	7	9	11	11	11	15	12	15	14	13	
0	0	0	0	0	3	4	6	7	7	7	8	11	11	11	15	12	15	14	13	
0	0	0	0	0	0	6	6	7	7	7	8	11	11	12	15	12	17	14	13	
0	0	7	0	0	0	0	6	7	7	7	8	11	11	11	15	12	15	14	13	
0	0	7	7	0	7	0	7	7	7	7	9	11	11	11	15	12	15	14	13	
0	0	7	7	0	0	0	0	7	7	7	8	11	11	12	15	12	17	14	13	
0	0	0	3	0	3	0	6	0	0	0	9	11	11	11	15	12	15	14	13	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	15	12	17	15	19	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	15	12	17	15	19	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	15	12	15	14	13	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	17	15	19	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	15	16	15	14	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	16	15	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	19	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	19	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	19	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
